audio_absolute_path,audio_relative_path,audio_duration_seconds
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\005_river_flowing_calm.mp3,nature_sounds/005_river_flowing_calm.mp3,2.0
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\010_wolf_howling_night.mp3,nature_sounds/010_wolf_howling_night.mp3,2.0
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\006_wind_blowing_strong.mp3,nature_sounds/006_wind_blowing_strong.mp3,3.5030077462945797
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\004_thunder_storm_loud.mp3,nature_sounds/004_thunder_storm_loud.mp3,3.933993233117934
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\003_rain_falling_gentle.mp3,nature_sounds/003_rain_falling_gentle.mp3,4.372675922298702
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\002_ocean_waves_crashing.mp3,nature_sounds/002_ocean_waves_crashing.mp3,5.301159292789025
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\007_crickets_night_summer.mp3,nature_sounds/007_crickets_night_summer.mp3,5.822412008681773
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\013_fire_crackling_camp.mp3,nature_sounds/013_fire_crackling_camp.mp3,7.318379412314426
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\001_forest_birds_chirping.mp3,nature_sounds/001_forest_birds_chirping.mp3,7.556881660400755
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\012_frog_croaking_pond.mp3,nature_sounds/012_frog_croaking_pond.mp3,8.711237220616644
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\017_rainforest_ambient.mp3,nature_sounds/017_rainforest_ambient.mp3,9.672671611087518
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\009_leaves_rustling.mp3,nature_sounds/009_leaves_rustling.mp3,11.269861301962818
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\011_eagle_calling.mp3,nature_sounds/011_eagle_calling.mp3,11.78243304184022
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\024_forest_night.mp3,nature_sounds/024_forest_night.mp3,12.749651871185872
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\023_lake_waves.mp3,nature_sounds/023_lake_waves.mp3,12.855522548304911
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\021_night_insects.mp3,nature_sounds/021_night_insects.mp3,13.39790711605512
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\018_stream_flowing.mp3,nature_sounds/018_stream_flowing.mp3,13.685562009061687
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\014_snow_falling_quiet.mp3,nature_sounds/014_snow_falling_quiet.mp3,13.822268576276475
C:\Users\ASUS Vivobook\Desktop\PyLab4\nature_sounds\008_waterfall_powerful.mp3,nature_sounds/008_waterfall_powerful.mp3,14.144353278480336
