Абсолютный путь,Относительный путь
C:\ap-lab1\lab2\output\black\000001.jpg,output\black\000001.jpg
C:\ap-lab1\lab2\output\black\000002.jpg,output\black\000002.jpg
C:\ap-lab1\lab2\output\black\000003.jpg,output\black\000003.jpg
C:\ap-lab1\lab2\output\black\000004.jpg,output\black\000004.jpg
C:\ap-lab1\lab2\output\black\000005.jpg,output\black\000005.jpg
C:\ap-lab1\lab2\output\black\000006.jpg,output\black\000006.jpg
C:\ap-lab1\lab2\output\black\000007.jpg,output\black\000007.jpg
C:\ap-lab1\lab2\output\black\000008.jpg,output\black\000008.jpg
C:\ap-lab1\lab2\output\black\000009.jpg,output\black\000009.jpg
C:\ap-lab1\lab2\output\black\000010.jpg,output\black\000010.jpg
C:\ap-lab1\lab2\output\black\000011.jpg,output\black\000011.jpg
C:\ap-lab1\lab2\output\black\000012.jpg,output\black\000012.jpg
C:\ap-lab1\lab2\output\black\000013.jpg,output\black\000013.jpg
C:\ap-lab1\lab2\output\black\000014.jpg,output\black\000014.jpg
C:\ap-lab1\lab2\output\black\000015.jpg,output\black\000015.jpg
C:\ap-lab1\lab2\output\black\000016.jpg,output\black\000016.jpg
C:\ap-lab1\lab2\output\black\000017.jpg,output\black\000017.jpg
C:\ap-lab1\lab2\output\black\000018.jpg,output\black\000018.jpg
C:\ap-lab1\lab2\output\black\000019.jpg,output\black\000019.jpg
C:\ap-lab1\lab2\output\black\000020.jpg,output\black\000020.jpg
C:\ap-lab1\lab2\output\black\000021.jpg,output\black\000021.jpg
C:\ap-lab1\lab2\output\black\000022.jpg,output\black\000022.jpg
C:\ap-lab1\lab2\output\black\000023.jpg,output\black\000023.jpg
C:\ap-lab1\lab2\output\black\000024.jpg,output\black\000024.jpg
C:\ap-lab1\lab2\output\black\000025.jpg,output\black\000025.jpg
C:\ap-lab1\lab2\output\black\000026.jpg,output\black\000026.jpg
C:\ap-lab1\lab2\output\yellow\000001.jpg,output\yellow\000001.jpg
C:\ap-lab1\lab2\output\yellow\000002.jpg,output\yellow\000002.jpg
C:\ap-lab1\lab2\output\yellow\000003.jpg,output\yellow\000003.jpg
C:\ap-lab1\lab2\output\yellow\000004.jpg,output\yellow\000004.jpg
C:\ap-lab1\lab2\output\yellow\000005.jpg,output\yellow\000005.jpg
C:\ap-lab1\lab2\output\yellow\000006.jpg,output\yellow\000006.jpg
C:\ap-lab1\lab2\output\yellow\000007.jpg,output\yellow\000007.jpg
C:\ap-lab1\lab2\output\yellow\000008.jpg,output\yellow\000008.jpg
C:\ap-lab1\lab2\output\yellow\000009.jpg,output\yellow\000009.jpg
C:\ap-lab1\lab2\output\yellow\000010.jpg,output\yellow\000010.jpg
C:\ap-lab1\lab2\output\yellow\000011.jpg,output\yellow\000011.jpg
C:\ap-lab1\lab2\output\yellow\000012.jpg,output\yellow\000012.jpg
C:\ap-lab1\lab2\output\yellow\000013.jpg,output\yellow\000013.jpg
C:\ap-lab1\lab2\output\yellow\000014.jpg,output\yellow\000014.jpg
C:\ap-lab1\lab2\output\yellow\000015.jpg,output\yellow\000015.jpg
C:\ap-lab1\lab2\output\yellow\000016.jpg,output\yellow\000016.jpg
C:\ap-lab1\lab2\output\yellow\000017.jpg,output\yellow\000017.jpg
C:\ap-lab1\lab2\output\yellow\000018.jpg,output\yellow\000018.jpg
C:\ap-lab1\lab2\output\yellow\000019.jpg,output\yellow\000019.jpg
C:\ap-lab1\lab2\output\yellow\000020.jpg,output\yellow\000020.jpg
C:\ap-lab1\lab2\output\yellow\000021.jpg,output\yellow\000021.jpg
